iter	Passed	Remaining
0	1	1919
1	3	1826
2	5	1739
3	6	1686
4	8	1639
5	9	1599
6	10	1539
7	12	1538
8	15	1663
9	17	1772
10	19	1787
11	22	1817
12	25	1928
13	27	1915
14	28	1881
15	30	1858
16	31	1820
17	32	1794
18	35	1811
19	37	1836
20	39	1820
21	43	1920
22	46	1955
23	47	1948
24	50	1979
25	52	1984
26	54	1976
27	56	1958
28	57	1937
29	59	1920
30	60	1901
31	62	1887
32	64	1879
33	65	1871
34	67	1863
35	69	1848
36	70	1838
37	72	1830
38	73	1821
39	75	1816
40	77	1802
41	78	1790
42	79	1778
43	81	1767
44	82	1757
45	84	1749
46	85	1743
47	87	1732
48	88	1726
49	90	1719
50	91	1711
51	93	1706
52	95	1700
53	96	1696
54	98	1689
55	99	1680
56	101	1675
57	103	1673
58	104	1671
59	106	1676
60	108	1673
61	110	1667
62	111	1660
63	113	1653
64	114	1649
65	117	1658
66	118	1656
67	120	1650
68	121	1644
69	123	1638
70	124	1632
71	126	1629
72	128	1630
73	129	1625
74	131	1619
75	132	1614
76	134	1609
77	135	1603
78	137	1598
79	138	1594
80	140	1591
81	142	1598
82	144	1594
83	145	1588
84	147	1583
85	148	1580
86	150	1578
87	152	1575
88	153	1570
89	155	1569
90	156	1565
91	158	1562
92	160	1560
93	161	1558
94	163	1554
95	164	1551
96	166	1553
97	168	1553
98	170	1550
99	171	1546
100	173	1544
101	175	1542
102	176	1540
103	178	1539
104	181	1543
105	182	1539
106	184	1536
107	185	1533
108	186	1528
109	188	1523
110	189	1520
111	191	1517
112	192	1511
113	194	1511
114	196	1509
115	197	1508
116	199	1505
117	200	1501
118	202	1497
119	203	1494
120	205	1491
121	206	1489
122	208	1487
123	210	1483
124	211	1481
125	213	1478
126	214	1475
127	216	1472
128	217	1469
129	219	1471
130	221	1468
131	223	1466
132	224	1464
133	226	1462
134	227	1459
135	229	1456
136	230	1453
137	232	1452
138	234	1449
139	235	1446
140	236	1443
141	238	1441
142	240	1438
143	241	1435
144	242	1431
145	244	1428
146	245	1426
147	247	1424
148	248	1421
149	250	1418
150	251	1414
151	252	1411
152	254	1408
153	256	1406
154	257	1403
155	258	1401
156	260	1398
157	262	1396
158	263	1394
159	265	1392
160	266	1389
161	268	1386
162	269	1384
163	270	1380
164	272	1380
165	274	1378
166	275	1375
167	277	1373
168	278	1370
169	280	1367
170	281	1365
171	283	1362
172	284	1361
173	286	1360
174	288	1358
175	289	1356
176	291	1354
177	292	1352
178	294	1350
179	295	1347
180	297	1345
181	299	1343
182	300	1343
183	302	1341
184	303	1338
185	305	1336
186	306	1334
187	308	1332
188	310	1331
189	311	1329
190	313	1327
191	314	1325
192	316	1323
193	318	1321
194	319	1319
195	321	1317
196	322	1315
197	324	1315
198	326	1312
199	327	1310
200	329	1307
201	330	1305
202	332	1303
203	333	1301
204	334	1298
205	336	1296
206	337	1294
207	339	1291
208	340	1290
209	342	1287
210	343	1285
211	345	1283
212	346	1281
213	348	1278
214	349	1276
215	351	1274
216	352	1273
217	354	1270
218	355	1269
219	357	1267
220	358	1264
221	360	1263
222	361	1260
223	363	1258
224	364	1256
225	366	1254
226	367	1252
227	369	1250
228	370	1248
